Time(min),0um,1.56um,3.1um,6.125um,12.5um,25um,50um,100um,500um,0umstd,1.56umstd,3.1umstd,6.125umstd,12.5umstd,25umstd,50umstd,100umstd,500umstd
300.0666667,1.4764418931528532e-08,1.1220958387961682e-08,1.358326541700625e-08,2.0079609746878808e-08,4.3702680037324455e-08,2.1083590234222742e-07,1.7740925788124686e-06,4.081475969431747e-06,5.086047033532947e-06,4.458756738640701e-09,2.70636269383074e-09,2.70636269383074e-09,3.688150666996444e-09,3.6881506669964446e-09,2.303249353318451e-08,1.4870225510481334e-07,4.8109355573075084e-08,1.8666616960179318e-07
310.0833333,1.5354995688789672e-08,1.2992688659745104e-08,1.4764418931528532e-08,2.303249353318451e-08,4.842729409541358e-08,2.4095531696254565e-07,1.9660300249223396e-06,4.327155900452381e-06,5.337042155368933e-06,5.412725387661481e-09,2.70636269383074e-09,4.091635797382275e-09,4.6875576894238176e-09,7.160362645418982e-09,3.073837137751581e-08,1.743362181207996e-07,5.93551677084547e-08,1.9922579739230076e-07
320.0833333,1.6536149203311956e-08,1.417384217426739e-08,1.6536149203311956e-08,2.3623070290445654e-08,5.256133139624158e-08,2.787522294272587e-07,2.1792282342936112e-06,4.587600250404544e-06,5.603982849650969e-06,4.458756738640701e-09,3.0687268480367053e-09,2.706362693830741e-09,2.706362693830741e-09,3.6881506669964446e-09,3.4958951577309437e-08,2.020316388882365e-07,7.872412541636392e-08,2.1634705644733556e-07
330.0666667,1.5945572446050814e-08,1.417384217426739e-08,1.5945572446050814e-08,2.539480056222908e-08,5.669536869706956e-08,3.1891144892101625e-07,2.404237978810106e-06,4.858674981987408e-06,5.8786010417774e-06,5.3151908153502714e-09,1.7717302717834237e-09,3.5434605435668475e-09,4.458756738640701e-09,6.1374536960734105e-09,4.6167089120851085e-08,2.2986792066134353e-07,9.817261726926058e-08,2.3286629510107575e-07
340.0833333,1.6536149203311956e-08,1.417384217426739e-08,1.830787947509538e-08,2.6575954076751354e-08,6.260113626968098e-08,3.6851989653095213e-07,2.6451932957726516e-06,5.1309308670847945e-06,6.153219233903831e-06,4.458756738640701e-09,3.5434605435668475e-09,4.458756738640701e-09,4.6875576894238176e-09,8.739737894327359e-09,6.016061389160428e-08,2.5647899336235527e-07,1.138465952759813e-07,2.411441406898444e-07
350.0833333,1.7717302717834237e-08,1.4764418931528532e-08,1.7717302717834237e-08,2.71665308340125e-08,6.73257503277701e-08,4.2521526522802166e-07,2.9074093759965983e-06,5.429762706258932e-06,6.4697683757958015e-06,3.0687268480367053e-09,2.706362693830741e-09,3.0687268480367053e-09,4.091635797382275e-09,9.206180544110117e-09,7.113447397287386e-08,2.9226032086422183e-07,1.3136317640798913e-07,2.6825384953398653e-07
360.0833333,1.7126725960573095e-08,1.5945572446050814e-08,1.8898456232356518e-08,3.130056813484049e-08,7.500324817216495e-08,4.937221690703142e-07,3.194429680025513e-06,5.729775698947592e-06,6.77450598254255e-06,5.412725387661481e-09,4.6875576894238176e-09,4.458756738640701e-09,6.707662551291916e-09,1.0229089493455685e-08,8.698335587092066e-08,3.215190122401308e-07,1.5875533712021393e-07,2.9499353362755064e-07
370.0666667,1.830787947509538e-08,1.5945572446050814e-08,2.067018650413994e-08,3.307229840662391e-08,8.209016925929864e-08,5.693159939997402e-07,3.521018626790924e-06,6.049277724625869e-06,7.10995358066688e-06,4.458756738640701e-09,3.5434605435668475e-09,3.688150666996444e-09,5.412725387661481e-09,1.0229089493455685e-08,1.0326821867590043e-07,3.5246450125189176e-07,1.7514459592776152e-07,3.189262129981946e-07
380.0833333,1.830787947509538e-08,1.6536149203311956e-08,2.067018650413994e-08,3.4253451921146183e-08,8.976766710369345e-08,6.579025075889112e-07,3.869458913574997e-06,6.405986086011598e-06,7.448354062577512e-06,4.458756738640701e-09,2.706362693830741e-09,5.1145447467278425e-09,5.695315994586156e-09,1.3059627220566232e-08,1.201166922100428e-07,3.949130738178351e-07,1.7614539629568989e-07,3.664399097085826e-07
390.0666667,1.8898456232356518e-08,1.6536149203311956e-08,2.2441916775923363e-08,3.661575895019076e-08,9.921689521987174e-08,7.647969006531781e-07,4.223214391174421e-06,6.782774057144208e-06,7.836953568855345e-06,2.706362693830741e-09,3.688150666996444e-09,2.706362693830741e-09,5.412725387661481e-09,1.2402111902483967e-08,1.370583482606805e-07,4.374463872954217e-07,2.0696913914606629e-07,4.1246068452979705e-07
400.0666667,2.0079609746878808e-08,1.8898456232356518e-08,2.421364704770679e-08,3.956864273649646e-08,1.0925670009331112e-07,8.829122521054061e-07,4.587600250404544e-06,7.155427990975986e-06,8.223781344861391e-06,4.458756738640701e-09,2.706362693830741e-09,3.688150666996444e-09,5.695315994586156e-09,1.58798172280084e-08,1.6580909182720267e-07,4.795152330910166e-07,2.3391089564403097e-07,4.136462172768495e-07
410.0833333,1.8898456232356518e-08,1.9489032989617663e-08,2.303249353318451e-08,4.193094976554104e-08,1.2047765848127282e-07,1.0122485619455961e-06,4.964388221537153e-06,7.5404840367102525e-06,8.627735846828014e-06,3.688150666996444e-09,3.0687268480367053e-09,3.0687268480367053e-09,6.707662551291916e-09,1.690122960591307e-08,1.9392422141404812e-07,5.270205198313032e-07,2.6561776452868663e-07,4.347218621644868e-07
420.08333330000005,2.0079609746878808e-08,1.8898456232356518e-08,2.598537731949021e-08,4.606498706636902e-08,1.3347034714101791e-07,1.153396406931009e-06,5.341176192669761e-06,7.920224891629166e-06,9.018697660134888e-06,5.695315994586156e-09,2.0458178986911373e-09,5.1145447467278425e-09,7.722793209915797e-09,2.2781263978344625e-08,2.2904710775396241e-07,5.642128762216455e-07,2.9151469359313405e-07,4.6297564184724163e-07
430.06666669999987,2.1851340018662228e-08,2.067018650413994e-08,2.7757107591273635e-08,4.842729409541358e-08,1.4823476607254644e-07,1.3039934800326e-06,5.73922492706377e-06,8.328904007653875e-06,9.4380071577903e-06,2.706362693830741e-09,2.70636269383074e-09,5.412725387661481e-09,6.222112228985943e-09,2.544967863932916e-08,2.574867252537487e-07,6.121202023934023e-07,3.2824381551669333e-07,5.105197045763123e-07
440.08333330000005,2.1851340018662228e-08,2.303249353318451e-08,3.0709991377579345e-08,5.315190815350271e-08,1.647709152758584e-07,1.4717172790947639e-06,6.152038080389308e-06,8.731677356105973e-06,9.852001464630361e-06,4.458756738640701e-09,4.6875576894238176e-09,5.695315994586156e-09,7.722793209915797e-09,2.948746851120308e-08,2.9699787461364e-07,6.610342818372633e-07,3.564892722600593e-07,5.445594882431771e-07
450.08333330000005,2.2441916775923363e-08,2.303249353318451e-08,3.130056813484049e-08,5.72859454543307e-08,1.8189764123643154e-07,1.6482997295158455e-06,6.570166424530197e-06,9.13917531861616e-06,1.0282531920673733e-05,3.688150666996444e-09,3.0687268480367053e-09,5.1145447467278425e-09,8.739737894327359e-09,3.316181836544053e-08,3.334918498376842e-07,7.135308689980916e-07,3.8936300564211475e-07,5.858786352106236e-07
460.06666669999987,2.2441916775923363e-08,2.421364704770679e-08,3.2481721649362754e-08,6.023882924063641e-08,2.0138667422604918e-07,1.8443712129265442e-06,7.014280145990575e-06,9.56852462114501e-06,1.0711881223202582e-05,3.688150666996444e-09,2.0458178986911373e-09,4.091635797382274e-09,7.722793209915797e-09,3.6496496829737604e-08,3.763457046716354e-07,7.549878845088682e-07,4.2958644255986547e-07,6.439234179217966e-07
470.08333330000005,2.303249353318451e-08,2.4804223804967934e-08,3.4253451921146183e-08,6.43728665414644e-08,2.232380142447114e-07,2.048120194181638e-06,7.450716369606557e-06,9.9866529652859e-06,1.115658552142022e-05,5.3151908153502714e-09,6.1374536960734105e-09,7.160362645418982e-09,1.1796761486976706e-08,4.354277214643176e-08,4.1853354371524856e-07,8.010578868567557e-07,4.549944540627607e-07,6.742196113642294e-07
480.06666669999987,2.539480056222908e-08,2.6575954076751354e-08,3.661575895019076e-08,6.909748059955353e-08,2.468610845351571e-07,2.275492245727177e-06,7.92258719865821e-06,1.0438444184590673e-05,1.1626094043442828e-05,3.688150666996444e-09,3.5434605435668475e-09,5.1145447467278425e-09,1.077701451099929e-08,4.9237953644672914e-08,4.613999738616194e-07,8.62500303135934e-07,5.059595542304348e-07,7.283320033492849e-07
