,row,model_num,ic value,Evidence,d(ic value)
304,101,2,1182.9239273209537,No support,820.2082655018153
310,103,2,1182.9239273209537,No support,820.2082655018153
319,106,2,1182.9239273209537,No support,820.2082655018153
289,96,2,1182.9239273209537,No support,820.2082655018153
313,104,2,1182.9239273209537,No support,820.2082655018153
295,98,2,1182.9239273209537,No support,820.2082655018153
307,102,2,1182.9239273209537,No support,820.2082655018153
316,105,2,1182.9239273209537,No support,820.2082655018153
334,111,2,1182.9239273209537,No support,820.2082655018153
328,109,2,1182.9239273209537,No support,820.2082655018153
325,108,2,1182.9239273209537,No support,820.2082655018153
286,95,2,1182.9239273209537,No support,820.2082655018153
301,100,2,1182.9239273209537,No support,820.2082655018153
292,97,2,1182.9239273209537,No support,820.2082655018153
298,99,2,1182.9239273209537,No support,820.2082655018153
283,94,2,1182.9239273209537,No support,820.2082655018153
408,136,1,1184.6155475712542,No support,821.8998857521158
384,128,1,1184.7574527412928,No support,822.0417909221544
405,135,1,1184.7574527412928,No support,822.0417909221544
402,134,1,1184.7574527412928,No support,822.0417909221544
363,121,1,1184.7574527412928,No support,822.0417909221544
399,133,1,1184.7574527412928,No support,822.0417909221544
366,122,1,1184.7574527412928,No support,822.0417909221544
396,132,1,1184.7574527412928,No support,822.0417909221544
369,123,1,1184.7574527412928,No support,822.0417909221544
372,124,1,1184.7574527412928,No support,822.0417909221544
393,131,1,1184.7574527412928,No support,822.0417909221544
375,125,1,1184.7574527412928,No support,822.0417909221544
390,130,1,1184.7574527412928,No support,822.0417909221544
378,126,1,1184.7574527412928,No support,822.0417909221544
387,129,1,1184.7574527412928,No support,822.0417909221544
381,127,1,1184.7574527412928,No support,822.0417909221544
357,119,1,1184.7574527412928,No support,822.0417909221544
360,120,1,1184.7574527412928,No support,822.0417909221544
354,118,1,1185.1818719389576,No support,822.4662101198192
342,114,1,1185.5929959430232,No support,822.8773341238848
336,112,1,1185.5929959430232,No support,822.8773341238848
339,113,1,1185.5929959430232,No support,822.8773341238848
345,115,1,1185.5929959430232,No support,822.8773341238848
351,117,1,1185.5929959430232,No support,822.8773341238848
333,111,1,1185.5929959430232,No support,822.8773341238848
348,116,1,1185.5929959430232,No support,822.8773341238848
280,93,2,1186.4133620842372,No support,823.6977002650988
330,110,1,1189.010228722699,No support,826.2945669035605
324,108,1,1191.790317732877,No support,829.0746559137385
318,106,1,1191.790317732877,No support,829.0746559137385
315,105,1,1191.790317732877,No support,829.0746559137385
312,104,1,1191.790317732877,No support,829.0746559137385
327,109,1,1191.790317732877,No support,829.0746559137385
321,107,1,1191.790317732877,No support,829.0746559137385
309,103,1,1192.2647343967024,No support,829.549072577564
306,102,1,1195.430651200946,No support,832.7149893818075
303,101,1,1210.6618267452843,No support,847.9461649261459
398,132,3,1214.4542933955381,No support,851.7386315763997
395,131,3,1214.4542933955381,No support,851.7386315763997
392,130,3,1214.4542933955381,No support,851.7386315763997
389,129,3,1214.4542933955381,No support,851.7386315763997
274,91,2,1236.0198338161408,No support,873.3041719970024
223,74,2,1236.0198338161408,No support,873.3041719970024
226,75,2,1236.0198338161408,No support,873.3041719970024
229,76,2,1236.0198338161408,No support,873.3041719970024
232,77,2,1236.0198338161408,No support,873.3041719970024
235,78,2,1236.0198338161408,No support,873.3041719970024
277,92,2,1236.0198338161408,No support,873.3041719970024
238,79,2,1236.0198338161408,No support,873.3041719970024
244,81,2,1236.0198338161408,No support,873.3041719970024
247,82,2,1236.0198338161408,No support,873.3041719970024
250,83,2,1236.0198338161408,No support,873.3041719970024
253,84,2,1236.0198338161408,No support,873.3041719970024
256,85,2,1236.0198338161408,No support,873.3041719970024
259,86,2,1236.0198338161408,No support,873.3041719970024
262,87,2,1236.0198338161408,No support,873.3041719970024
268,89,2,1236.0198338161408,No support,873.3041719970024
271,90,2,1236.0198338161408,No support,873.3041719970024
241,80,2,1236.0198338161408,No support,873.3041719970024
220,73,2,1236.0198338161408,No support,873.3041719970024
265,88,2,1236.0198338161408,No support,873.3041719970024
380,126,3,1241.7492215074394,No support,879.033559688301
377,125,3,1241.7492215074394,No support,879.033559688301
386,128,3,1241.7492215074394,No support,879.033559688301
